,Año,Trimestre,Provincia,+ 30 Mbps,Total,menos_30mbps,year_trim
398,2018,3,Neuquén,9718,115935,98465,18_3
93,2021,4,Santiago Del Estero,7537,115861,62990,21_4
470,2017,4,Neuquén,6300,115843,102113,17_4
117,2021,3,Santiago Del Estero,6863,115458,62356,21_3
33,2022,2,Jujuy,37391,115314,65143,22_2
422,2018,2,Neuquén,8551,114668,98698,18_2
374,2018,4,Neuquén,11025,114365,95272,18_4
350,2019,1,Neuquén,11026,114242,95330,19_1
141,2021,2,Santiago Del Estero,6064,114090,60823,21_2
234,2020,2,San Luis,8,113952,75312,20_2
81,2021,4,Jujuy,33421,113915,68550,21_4
270,2019,4,Corrientes,15744,113834,73123,19_4
246,2020,1,Corrientes,19467,113737,73499,20_1
399,2018,3,Río Negro,4332,113504,100999,18_3
291,2019,3,Chaco,16740,112227,60993,19_3
423,2018,2,Río Negro,3725,112129,92755,18_2
129,2021,2,Jujuy,29950,111848,70390,21_2
165,2021,1,Santiago Del Estero,4868,111641,59753,21_1
34,2022,2,La Pampa,17125,111527,70478,22_2
447,2018,1,Río Negro,3129,111239,107286,18_1
105,2021,3,Jujuy,29917,111158,69479,21_3
294,2019,3,Corrientes,12674,110656,69037,19_3
397,2018,3,Misiones,4547,110594,81732,18_3
153,2021,1,Jujuy,25609,110456,72304,21_1
258,2020,1,San Luis,5,110454,75880,20_1
315,2019,2,Chaco,9904,109904,72698,19_2
58,2022,1,La Pampa,14400,109732,80614,22_1
471,2017,4,Río Negro,2440,109678,106715,17_4
518,2017,2,Neuquén,1703,109586,107034,17_2
318,2019,2,Corrientes,7119,109461,68578,19_2
494,2017,3,Neuquén,4937,109276,103305,17_3
616,2016,2,Salta,49,109235,89743,16_2
421,2018,2,Misiones,3866,108699,81696,18_2
220,2020,2,Chubut,614,108656,84258,20_2
520,2017,2,Salta,76,108551,90636,17_2
282,2019,4,San Luis,3,108201,73417,19_4
592,2016,3,Salta,50,107818,89312,16_3
544,2017,1,Salta,74,107643,93629,17_1
542,2017,1,Neuquén,458,107491,92514,17_1
82,2021,4,La Pampa,12184,107007,89860,21_4
339,2019,1,Chaco,6368,106982,74568,19_1
568,2016,4,Salta,70,106947,93434,16_4
201,2020,3,Jujuy,15238,106728,82629,20_3
189,2020,4,Santiago Del Estero,4520,106669,53614,20_4
566,2016,4,Neuquén,271,106093,105030,16_4
590,2016,3,Neuquén,225,106026,105121,16_3
177,2020,4,Jujuy,19282,105851,35035,20_4
213,2020,3,Santiago Del Estero,3994,105492,51285,20_3
237,2020,2,Santiago Del Estero,3328,105447,43314,20_2
519,2017,2,Río Negro,559,105379,106141,17_2
387,2018,3,Chaco,5667,105340,74352,18_3
615,2016,2,Río Negro,86,105131,109531,16_2
543,2017,1,Río Negro,200,105033,113461,17_1
495,2017,3,Río Negro,1659,105009,106842,17_3
567,2016,4,Río Negro,122,104779,113391,16_4
614,2016,2,Neuquén,208,104778,103987,16_2
591,2016,3,Río Negro,99,104771,111575,16_3
469,2017,4,Misiones,2735,103895,74168,17_4
285,2019,4,Santiago Del Estero,2449,103588,50127,19_4
445,2018,1,Misiones,3219,103542,72811,18_1
17,2022,3,San Juan,19221,103399,55426,22_3
363,2018,4,Chaco,6368,103270,71890,18_4
261,2020,1,Santiago Del Estero,2799,103054,41282,20_1
388,2018,3,Chubut,164,102594,107257,18_3
640,2016,1,Salta,31,102071,85363,16_1
662,2015,4,Neuquén,175,102039,101490,15_4
664,2015,4,Salta,5,101936,85683,15_4
639,2016,1,Río Negro,81,101921,102330,16_1
342,2019,1,Corrientes,5029,101659,64335,19_1
663,2015,4,Río Negro,75,101122,100891,15_4
366,2018,4,Corrientes,5029,100601,69100,18_4
688,2015,3,Salta,5,100589,83682,15_3
412,2018,2,Chubut,9,100533,90829,18_2
493,2017,3,Misiones,1881,100526,75837,17_3
687,2015,3,Río Negro,62,100508,100356,15_3
106,2021,3,La Pampa,10506,100487,83933,21_3
41,2022,2,San Juan,16701,100407,61029,22_2
517,2017,2,Misiones,570,99796,77193,17_2
390,2018,3,Corrientes,4419,99459,70186,18_3
354,2019,1,San Luis,2,98701,26660,19_1
711,2015,2,Río Negro,51,98689,95634,15_2
638,2016,1,Neuquén,171,98453,97542,16_1
411,2018,2,Chaco,4630,98290,68973,18_2
712,2015,2,Salta,5,98269,70566,15_2
589,2016,3,Misiones,91,97998,68177,16_3
414,2018,2,Corrientes,3862,97960,64029,18_2
436,2018,1,Chubut,9,97928,88235,18_1
783,2014,3,Río Negro,9,97745,94445,14_3
130,2021,2,La Pampa,9311,97667,84193,21_2
541,2017,1,Misiones,166,97621,72699,17_1
565,2016,4,Misiones,126,97392,72924,16_4
735,2015,1,Río Negro,42,97227,97109,15_1
154,2021,1,La Pampa,7368,97105,87117,21_1
244,2020,1,Chubut,614,96920,80136,20_1
178,2020,4,La Pampa,6257,96895,87662,20_4
613,2016,2,Misiones,96,96832,62013,16_2
